"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity"
"31",2,0.5,0.112888888888889,11,970,630,1262,885,0.658741587504203,0.284744618775657,0.363216799982564,0.522911051212938,0.332980972515856
"32",2,0.5,0.112888888888889,12,603,314,486,175,0.720546272493573,0.62973541950977,0.493590381426202,0.775064267352185,0.3925
"33",2,0.5,0.112888888888889,13,306,225,313,146,0.634733690824752,0.444796290536911,0.382243603761207,0.676991150442478,0.4182156133829
"34",2,0.5,0.112888888888889,14,219,224,354,335,0.414600327283175,0.0126761712455894,0.0196394432067749,0.395306859205776,0.387543252595156
"35",2,0.5,0.112888888888889,15,192,159,258,225,0.573653307569772,0.127906976744186,0.171875,0.460431654676259,0.381294964028777
"36",2,0.5,0.112888888888889,16,910,465,600,93,0.904668623238266,0.835418743768694,0.51875870608265,0.907278165503489,0.436619718309859
"37",2,0.5,0.112888888888889,17,283,175,299,172,0.627521212964251,0.400727700393252,0.406412607535298,0.621978021978022,0.369198312236287
"38",2,0.5,0.112888888888889,18,1497,915,1372,736,0.714205430291856,0.450584200156936,0.403209567363849,0.670398566950291,0.40008745080892
"39",2,0.5,0.112888888888889,19,399,265,530,370,0.684082897825322,0.278283485045514,0.357560568086884,0.518855656697009,0.333333333333333
"40",2,0.5,0.112888888888889,20,186,124,193,139,0.65222518806115,0.297520924671184,0.316508937960042,0.572307692307692,0.391167192429022
"41",3,0.5,0.223777777777778,1,258,147,253,143,0.672599750623441,0.436192128374715,0.428808139534884,0.643391521197007,0.3675
"42",3,0.5,0.223777777777778,2,391,469,550,566,0.494753292458954,-0.0957613755105917,-0.126506855675666,0.408568443051202,0.460255152109912
"43",3,0.5,0.223777777777778,3,296,223,330,294,0.637642136880498,0.164961479198767,0.196214750012218,0.501694915254237,0.403254972875226
"44",3,0.5,0.223777777777778,4,1165,1313,1874,1876,0.566520393240915,-0.0491289972650544,-0.0754077387886141,0.383097665241697,0.411986193912771
"45",3,0.5,0.223777777777778,5,231,215,308,315,0.479468269143221,0.0203546453546454,0.0283330436294107,0.423076923076923,0.411089866156788
"46",3,0.5,0.223777777777778,6,369,242,350,217,0.692224541093995,0.373651877133106,0.35082033252765,0.629692832764505,0.408783783783784
"47",3,0.5,0.223777777777778,7,269,250,346,354,0.445619270255421,0.0212193469970959,0.028529727302213,0.431781701444623,0.419463087248322
"48",3,0.5,0.223777777777778,8,293,263,526,472,0.571323840055667,0.0745098039215686,0.129692832764505,0.383006535947712,0.333333333333333
"49",3,0.5,0.223777777777778,9,438,222,312,84,0.793200309957381,0.724580017683466,0.504540557180237,0.839080459770115,0.415730337078652
"50",3,0.5,0.223777777777778,10,281,293,333,364,0.456961884241028,-0.0608934515911259,-0.0743522108398804,0.435658914728682,0.468051118210863
"51",3,0.5,0.223777777777778,11,1065,647,1245,790,0.684554059367574,0.352805291245846,0.404368777853874,0.574123989218329,0.341966173361522
"52",3,0.5,0.223777777777778,12,603,319,481,175,0.716860539845758,0.62588651534667,0.485526533996683,0.775064267352185,0.39875
"53",3,0.5,0.223777777777778,13,306,230,308,146,0.629079349935849,0.435783243305367,0.368515683844789,0.676991150442478,0.427509293680297
"54",3,0.5,0.223777777777778,14,232,229,349,322,0.409032141206451,0.0373941017657463,0.0539165970647895,0.418772563176895,0.396193771626298
"55",3,0.5,0.223777777777778,15,199,164,253,218,0.580795795018661,0.138339920948616,0.175879396984925,0.477218225419664,0.393285371702638
"56",3,0.5,0.223777777777778,16,910,474,591,93,0.902025847340607,0.832912430222024,0.509444358458443,0.907278165503489,0.445070422535211
"57",3,0.5,0.223777777777778,17,292,175,299,163,0.644755877034358,0.432084971884303,0.424708109357841,0.641758241758242,0.369198312236287
"58",3,0.5,0.223777777777778,18,1534,934,1353,699,0.719941036301876,0.470876779768897,0.405510655145659,0.686968204209583,0.408395277656318
"59",3,0.5,0.223777777777778,19,407,268,527,362,0.685908351121689,0.289868554494242,0.363058427209371,0.52925877763329,0.337106918238994
"60",3,0.5,0.223777777777778,20,196,126,191,129,0.662989565639408,0.34123238018526,0.340919333032898,0.603076923076923,0.397476340694006
"61",4,0.5,0.334666666666667,1,258,147,253,143,0.672468827930175,0.436192128374715,0.428808139534884,0.643391521197007,0.3675
"62",4,0.5,0.334666666666667,2,400,470,549,557,0.49011826498206,-0.0803017931339016,-0.103508341511286,0.417972831765935,0.461236506378803
"63",4,0.5,0.334666666666667,3,303,223,330,287,0.646006375088117,0.184843348741654,0.214784046216557,0.513559322033898,0.403254972875226
"64",4,0.5,0.334666666666667,4,1178,1321,1866,1863,0.565871278903825,-0.0463256184767449,-0.0700199718401846,0.387372574810917,0.414496391590838
"65",4,0.5,0.334666666666667,5,232,217,306,314,0.478669832398322,0.0170820464938113,0.0235214610667898,0.424908424908425,0.41491395793499
"66",4,0.5,0.334666666666667,6,369,242,350,217,0.691521192694401,0.373651877133106,0.35082033252765,0.629692832764505,0.408783783783784
"67",4,0.5,0.334666666666667,7,279,252,344,344,0.436766781216672,0.0433386837881221,0.0558562459406799,0.447833065810594,0.422818791946309
"68",4,0.5,0.334666666666667,8,301,265,524,464,0.574687078042032,0.0867235443795837,0.146381516617612,0.393464052287582,0.335868187579214
"69",4,0.5,0.334666666666667,9,444,224,310,78,0.799898115860921,0.742602892102336,0.506832675372001,0.850574712643678,0.419475655430712
"70",4,0.5,0.334666666666667,10,287,294,332,358,0.454284617480249,-0.0465489866442514,-0.0554819605704044,0.444961240310077,0.469648562300319
"71",4,0.5,0.334666666666667,11,1095,656,1236,760,0.69406267273753,0.372848681513272,0.41262899784722,0.590296495956873,0.346723044397463
"72",4,0.5,0.334666666666667,12,603,320,480,175,0.716131105398458,0.625107112253642,0.483913764510779,0.775064267352185,0.4
"73",4,0.5,0.334666666666667,13,306,231,307,146,0.627442675264006,0.433945403707013,0.365770099861506,0.676991150442478,0.429368029739777
"74",4,0.5,0.334666666666667,14,233,230,348,321,0.410478058286385,0.0376260425743806,0.0538634034780284,0.42057761732852,0.397923875432526
"75",4,0.5,0.334666666666667,15,200,165,252,217,0.582526784327933,0.138888888888889,0.175,0.479616306954436,0.39568345323741
"76",4,0.5,0.334666666666667,16,910,477,588,93,0.901495045380291,0.832059942621116,0.506339575917041,0.907278165503489,0.447887323943662
"77",4,0.5,0.334666666666667,17,299,175,299,156,0.654205499142208,0.456473960821787,0.438176481379563,0.657142857142857,0.369198312236287
"78",4,0.5,0.334666666666667,18,1554,940,1347,679,0.723325496179559,0.483726753752097,0.409391901739956,0.695924764890282,0.411018801923918
"79",4,0.5,0.334666666666667,19,409,269,526,360,0.685959058157699,0.292449331757702,0.363808030016454,0.53185955786736,0.338364779874214
"80",4,0.5,0.334666666666667,20,196,127,190,129,0.662513952924048,0.337765182186235,0.335688534088714,0.603076923076923,0.400630914826498
"81",5,0.5,0.445555555555556,1,259,148,252,142,0.671371571072319,0.437913153623877,0.427142857142857,0.645885286783042,0.37
"82",5,0.5,0.445555555555556,2,406,474,545,551,0.48646664267117,-0.0765082012788434,-0.0964531052852937,0.424242424242424,0.465161923454367
"83",5,0.5,0.445555555555556,3,310,226,327,280,0.652828945352009,0.19742911936972,0.222189815084874,0.525423728813559,0.408679927667269
"84",5,0.5,0.445555555555556,4,1183,1326,1861,1858,0.56534113274837,-0.0463210915977079,-0.0695304068382196,0.389016770799079,0.41606526513963
"85",5,0.5,0.445555555555556,5,233,217,306,313,0.523410305437074,0.0202123584476527,0.0277123560836705,0.426739926739927,0.41491395793499
"86",5,0.5,0.445555555555556,6,375,242,350,211,0.694622843833595,0.390970258410531,0.361207207207207,0.639931740614334,0.408783783783784
"87",5,0.5,0.445555555555556,7,285,252,344,338,0.568708457668566,0.0600246369778642,0.075732956552455,0.457463884430177,0.422818791946309
"88",5,0.5,0.445555555555556,8,301,265,524,464,0.574793111160814,0.0867235443795837,0.146381516617612,0.393464052287582,0.335868187579214
"89",5,0.5,0.445555555555556,9,447,225,309,75,0.803245225077848,0.751701818993416,0.50795565945253,0.85632183908046,0.421348314606742
"90",5,0.5,0.445555555555556,10,292,297,329,353,0.452412264407955,-0.0413420984425437,-0.0479944417698805,0.452713178294574,0.47444089456869
"91",5,0.5,0.445555555555556,11,1117,660,1232,738,0.700439073870403,0.389025798998845,0.420686639878412,0.602156334231806,0.348837209302326
"92",5,0.5,0.445555555555556,12,603,320,480,175,0.716107005141388,0.625107112253642,0.483913764510779,0.775064267352185,0.4
"93",5,0.5,0.445555555555556,13,306,231,307,146,0.627101358686713,0.433945403707013,0.365770099861506,0.676991150442478,0.429368029739777
"94",5,0.5,0.445555555555556,14,233,232,346,321,0.41168350967484,0.0320631873291458,0.0456361287256634,0.42057761732852,0.401384083044983
"95",5,0.5,0.445555555555556,15,202,166,251,215,0.584786846781568,0.143426294820717,0.178217821782178,0.484412470023981,0.398081534772182
"96",5,0.5,0.445555555555556,16,910,478,587,93,0.900783564798562,0.831773843715871,0.50530464840324,0.907278165503489,0.448826291079812
"97",5,0.5,0.445555555555556,17,302,175,299,153,0.658916400055641,0.466926384652137,0.44375750971023,0.663736263736264,0.369198312236287
