"","rep","model","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric"
"26",26,"LMERR",2484,957,2807,1278,0.779483230707432,0.544467607468001,0.614939010303562,0.660287081339713,0.254250797024442,0.579703308885782
"27",27,"LMERR",1072,414,1077,375,0.797118578784386,0.641222931701936,0.625202708790054,0.740843123704216,0.277665995975855,0.633212820245995
"28",28,"LMERR",1422,513,1173,298,0.83179742889459,0.750972461785523,0.63196540384702,0.826744186046512,0.304270462633452,0.691468932816272
"29",29,"LMERR",736,342,874,543,0.759148286078762,0.409321140836931,0.511251698369565,0.575449569976544,0.28125,0.460286419603248
"30",30,"LMERR",620,205,506,73,0.861195844318207,0.851983984395052,0.677725602286648,0.894660894660895,0.288326300984529,0.76485479334085
"31",31,"LMERR",1120,403,970,265,0.847302147396541,0.729171163794708,0.637033737384247,0.808664259927798,0.293517844136926,0.683102450589477
"32",32,"LMERR",951,319,819,194,0.859127711989931,0.764573902565169,0.66250030030363,0.83056768558952,0.280316344463972,0.7135371014344
"33",33,"LMERR",1356,409,1122,226,0.868203771858622,0.80506748153807,0.688330067494013,0.857142857142857,0.267145656433703,0.746698774516041
"34",34,"LMERR",1896,681,1948,753,0.800790641193035,0.616368154113404,0.638090360198564,0.715741789354473,0.259033853176113,0.627229257155984
"35",35,"LMERR",4595,1287,3869,682,0.866508611444221,0.827768945961086,0.713339920698368,0.870759901459162,0.249612102404965,0.770554433329727
"36",36,"LMERR",1508,415,1248,220,0.876178634662925,0.83034892865622,0.714044638257216,0.872685185185185,0.249549007817198,0.772196783456718
"37",37,"LMERR",911,303,794,230,0.791470962556634,0.721498001002258,0.654058018725854,0.798422436459246,0.276207839562443,0.687778009864056
"38",38,"LMERR",1434,473,1110,135,0.88985826542128,0.877293163144024,0.673070569360121,0.91395793499044,0.298799747315224,0.775181866252072
