"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric","Kappa"
"64",7,1.625,0.2515,4,1308,324,1270,291,0.854508346260955,0.771582632846316,0.7515165816767,0.818011257035647,0.203262233375157,0.761549607261508,0.385231077439354
"65",7,1.625,0.2515,5,829,267,912,400,0.775380937493746,0.579247141450045,0.664266399015338,0.67453213995118,0.2264631043257,0.621756770232691,0.552956794526811
"66",7,1.625,0.2515,6,1086,420,1518,784,0.718022466515455,0.464750269493352,0.626829504700979,0.580748663101604,0.21671826625387,0.545789887097166,0.634722196072524
"67",7,1.625,0.2515,7,4962,1036,5340,1368,0.849325286272971,0.741958570743916,0.792719524092008,0.783886255924171,0.162484316185696,0.767339047417962,0.3784804707244
"68",7,1.625,0.2515,8,1418,493,1869,864,0.757248495570755,0.521514596050042,0.66410276008594,0.621384750219106,0.208721422523285,0.592808678067991,0.586197389365022
"69",7,1.625,0.2515,9,790,327,1257,775,0.615834866234227,0.375967425865632,0.591040947449175,0.504792332268371,0.206439393939394,0.483504186657404,0.701133953798111
"70",7,1.625,0.2515,10,713,270,1032,559,0.775167497512294,0.445558176100629,0.63004375618048,0.560534591194969,0.207373271889401,0.537800966140554,0.645911845740034
"71",8,1.625,0.501,1,461,178,662,328,0.763875309312572,0.472505255419112,0.637325689494887,0.584283903675539,0.211904761904762,0.554915472457,0.62545926381206
"72",8,1.625,0.501,2,917,339,1351,795,0.677767101697727,0.419108898220079,0.625503797435682,0.535630841121495,0.200591715976331,0.522306347827881,0.665540717718273
"73",8,1.625,0.501,3,1710,450,1627,367,0.84384571466058,0.774431468961278,0.736842105263158,0.823302840635532,0.216658642272508,0.755636787112218,0.393355801636976
"74",8,1.625,0.501,4,1305,323,1271,294,0.855730879478469,0.769409382043951,0.751714042602287,0.816135084427767,0.202634880803011,0.760561712323119,0.386482345054907
"75",8,1.625,0.501,5,801,264,915,428,0.765329115225698,0.551270525150396,0.656434545876179,0.651749389747762,0.223918575063613,0.603852535513287,0.573376340504483
